Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,LSRAM 18K,PLLs and CCCs,Chip Globals,SERDESIF Blocks,SERDESIF Lanes,EPCS,MSS,RCOSC_50MHZ
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBolooI/CORETSE_AHBiO0oI.CORETSE_AHBOI0oI/Primitives,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBOlooI.CORETSE_AHBolooI/Primitives,2,2,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBiOooI/CORETSE_AHBl1Oo/CORETSE_AHBIOlo/CORETSE_AHBi1oOI/Primitives,407,32,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBiOooI/CORETSE_AHBl1Oo/CORETSE_AHBIOlo/Primitives,300,297,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBiOooI/CORETSE_AHBl1Oo/CORETSE_AHBOOlo/Primitives,142,36,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBiOooI/CORETSE_AHBl1Oo/CORETSE_AHBiOlo/Primitives,187,128,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBiOooI/CORETSE_AHBl1Oo/CORETSE_AHBoOlo/CORETSE_AHBi1oOI/Primitives,68,32,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBiOooI/CORETSE_AHBl1Oo/CORETSE_AHBoOlo/Primitives,515,191,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBiOooI/CORETSE_AHBl1Oo/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBiOooI/CORETSE_AHBlOIo/Primitives,10,10,0,0,0,0,0,0,2,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBiOooI/CORETSE_AHBliOo/Primitives,55,231,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBiOooI/CORETSE_AHBooOo/Primitives,197,101,0,0,0,0,0,0,1,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBlOooI/Primitives,42,74,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBo0ooI.CORETSE_AHBi0ooI/Primitives,135,3,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBoOooI/CORETSE_AHBI1II/Primitives,209,238,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBoOooI/CORETSE_AHBO1II/Primitives,209,198,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBoOooI/CORETSE_AHBOoII/Primitives,8,10,0,0,0,0,0,0,2,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBoOooI/CORETSE_AHBi0II/Primitives,253,177,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBoOooI/CORETSE_AHBi1II/Primitives,94,266,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBoOooI/CORETSE_AHBl1II/Primitives,311,174,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/CORETSE_AHBoOooI/CORETSE_AHBo1II/Primitives,182,90,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBilI/Primitives,414,0,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBIoi0/CORETSE_AHBI011/Primitives,209,124,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBIoi0/CORETSE_AHBO011/CORETSE_AHBi101/Primitives,0,30,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBIoi0/CORETSE_AHBO011/Primitives,265,171,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBIoi0/CORETSE_AHBi011/Primitives,4,6,0,0,0,0,0,0,2,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBIoi0/CORETSE_AHBiI11/CORETSE_AHBo01II/Primitives,105,0,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBIoi0/CORETSE_AHBiI11/Primitives,155,95,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBIoi0/CORETSE_AHBil11/CORETSE_AHBOoIOI/Primitives,144,0,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBIoi0/CORETSE_AHBil11/CORETSE_AHBloIOI/Primitives,169,0,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBIoi0/CORETSE_AHBil11/Primitives,257,119,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBIoi0/CORETSE_AHBol11/Primitives,335,101,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBOoi0/Primitives,17,24,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBi1i0/Primitives,41,108,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBlOO1/Primitives,246,196,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBo1i0/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBio0.CORETSE_AHBOi0/CORETSE_AHBoOO1/Primitives,55,18,0,0,0,0,0,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/CORETSE_AHBoo0/Primitives,0,0,324,324,0,0,9,0,0,0,0,0,0,0
CORETSE_AHB_0/CoreTSE_top_inst/Primitives,0,9,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/masterstage_0/Primitives,34,27,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/masterstage_0/default_slave_sm/Primitives,4,1,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/masterstage_1/Primitives,41,45,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/masterstage_1/default_slave_sm/Primitives,2,1,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/masterstage_2/Primitives,96,45,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/masterstage_2/default_slave_sm/Primitives,2,1,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/slavestage_2/Primitives,127,2,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/slavestage_2/slave_arbiter/Primitives,21,7,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/slavestage_3/Primitives,39,1,0,0,0,0,0,0,0,0,0,0,0,0
CoreAHBLite_0/matrix4x16/slavestage_3/slave_arbiter/Primitives,20,11,0,0,0,0,0,0,0,0,0,0,0,0
CoreConfigP_0/Primitives,50,92,0,0,0,0,0,0,0,0,0,0,0,0
CoreResetP_0/Primitives,43,88,0,0,0,0,0,0,1,0,0,0,0,0
CoreTSE_Webserver_MSS_0/Primitives,0,0,0,0,10,0,0,0,1,0,0,0,1,0
FCCC_0/Primitives,0,0,0,0,1,0,0,1,1,0,0,0,0,0
FCCC_1/Primitives,0,0,0,0,0,0,0,1,2,0,0,0,0,0
FCCC_2/Primitives,0,0,0,0,0,0,0,1,1,0,0,0,0,0
FCCC_3/Primitives,0,0,0,0,0,0,0,1,2,0,0,0,0,0
OSC_0/Primitives,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Primitives/Primitives,2,0,0,0,11,0,0,0,0,0,0,0,0,0
SERDES_IF2_0/Primitives,0,0,0,0,0,1,0,0,0,1,1,1,0,0
