
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
.	.	.	.	.	.	. pemstat_linc_6, 19, 21, 18, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_linc_7, 19, 22, 18, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_linc_8, 19, 22, 18, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_linc_9, 19, 21, 18, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sadd, 13, 22, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc, 13, 16, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_0, 13, 16, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_1, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_10, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_11, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_12, 13, 16, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_13, 12, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_14, 12, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_2, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_3, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_4, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_5, 13, 16, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_6, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_7, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_8, 13, 16, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinc_9, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinchd, 13, 15, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. pemstat_sinchd_0, 13, 15, 12, 0, 0, 0, 0, 0, 0
